plastic,number,affect
떡볶이,1000000,부정적 영향
생수,89000,부정적 영향
배달음식,100000,부정적 영향
물고기,10000,부정적 영향
생수,172831,부정적 영향
떡볶이,100000,긍정적 영향
페트병 물,300000,부정적 영향
라면,10000000,부정적 영향
라면,1000000,부정적 영향
해조류 음식,200000,부정적 영향
해산물,500000,부정적 영향
생수,1000000,부정적 영향
즉석식품,10000000,부정적 영향
라면,20000,부정적 영향
생선,100000,긍정적 영향
해산물,500000,부정적 영향
해산물,1,부정적 영향
해산물,230000,부정적 영향
해산물,1000000,부정적 영향
컵라면,1000000,부정적 영향
라면,1000000,부정적 영향
생선,100,부정적 영향
생선,50000,부정적 영향
생선,20000000,부정적 영향
생선,10000000000,부정적 영향
소금,10000,부정적 영향
배달음식,1000000,부정적 영향
쌀,800000,부정적 영향
라면,10000,부정적 영향
아이스크림,90000000,부정적 영향
생선,7000000,부정적 영향
생선,20000,부정적 영향
해산물,22000,부정적 영향
생수,2400000,부정적 영향
생선류,1000000,부정적 영향
아이스크림,10000,부정적 영향
생선,100000,부정적 영향
생선 ,111111,부정적 영향
생선,10000000,부정적 영향
생선,10000000,부정적 영향
해산물,1000000,부정적 영향
해산물,100000,부정적 영향
라면,10000,부정적 영향
해산물,10000,부정적 영향
물,100000,부정적 영향
생선,10000,부정적 영향
해산물,500000,부정적 영향
조류,10000,부정적 영향
배달음식,1000000,영향을 주지 않는다
아이스크림,100000,부정적 영향
생수,100000,부정적 영향
과일 종류,600000,부정적 영향
생선,1000000,부정적 영향
생선류,1000000,부정적 영향
해산물,1000000,부정적 영향
해산물,300000000,부정적 영향
해산물,10000,부정적 영향
배달음식,1000000,부정적 영향
사과,180000,부정적 영향
짜장면,150000,영향을 주지 않는다
생선,50000000,부정적 영향
즉석식품,100000,부정적 영향
생선,1000,부정적 영향
생수,200000,부정적 영향
생선,1000000,부정적 영향
해산물,10000000,부정적 영향
즉석식품,1000000,부정적 영향
해산물,10000,부정적 영향
해산물,250000,부정적 영향
해산물,100000,부정적 영향
생수,1000000,부정적 영향
배달음식,1000000000,부정적 영향
생선,100000,부정적 영향
생수,1000000,부정적 영향
해산물,100000,부정적 영향
즉석식품,1000000,부정적 영향
생수,100,부정적 영향
해산물,30000,긍정적 영향
생수,1000000,부정적 영향
생수,1000000,부정적 영향
즉석식품,187000,부정적 영향
즉석식품,150000,부정적 영향
생수,200000,부정적 영향
배달음식,180000,부정적 영향
생선,100,부정적 영향
해산물,1000000,부정적 영향
즉석식품,5000,부정적 영향
즉석식품,100000,부정적 영향
생수,1000000,부정적 영향
배달음식,5000000,부정적 영향
생수병,10000,부정적 영향
즉석식품,1000000,부정적 영향
음료수,100000,부정적 영향
해산물,10000,부정적 영향
생수,300000,부정적 영향
배달음식,2343567,부정적 영향
해산물,110000,부정적 영향
생선,2000000,부정적 영향
생선,100000000,부정적 영향
생수,10000000,부정적 영향
해산물,150000,부정적 영향
생수,10000000,부정적 영향
생선,1,부정적 영향
